date,numbers
2019-01-01,2201765
2019-01-02,2424225
2019-01-03,2279384
2019-01-04,2230078
2019-01-05,2049460
2019-01-06,2299648
2019-01-07,2119879
2019-01-08,1805496
2019-01-09,1811152
2019-01-10,2029644
2019-01-11,2046974
2019-01-12,1671503
2019-01-13,2042237
2019-01-14,1959989
2019-01-15,1674596
2019-01-16,1856214
2019-01-17,2217324
2019-01-18,2350565
2019-01-19,1665747
2019-01-20,1845674
2019-01-21,2254626
2019-01-22,1877634
2019-01-23,1837029
2019-01-24,2067422
2019-01-25,2131407
2019-01-26,1637770
2019-01-27,2084603
2019-01-28,1938084
2019-01-29,1605701
2019-01-30,1664554
2019-01-31,2014515
2019-02-01,2155740
2019-02-02,1658417
2019-02-03,1861198
2019-02-04,2079030
2019-02-05,1725457
2019-02-06,1828932
2019-02-07,2140678
2019-02-08,2214249
2019-02-09,1715486
2019-02-10,2179046
2019-02-11,2133170
2019-02-12,1695994
2019-02-13,2030560
2019-02-14,2306090
2019-02-15,2444760
2019-02-16,1923760
2019-02-17,2150695
2019-02-18,2477521
2019-02-19,2178494
2019-02-20,2023523
2019-02-21,2353953
2019-02-22,2416293
2019-02-23,1917781
2019-02-24,2274850
2019-02-25,2240859
2019-02-26,1937469
2019-02-27,2090089
2019-02-28,2381453
2019-03-01,2431311
2019-03-02,1954068
2019-03-03,2302852
2019-03-04,2258980
2019-03-05,1980296
2019-03-06,2148953
2019-03-07,2404944
2019-03-08,2544987
2019-03-09,2156725
2019-03-10,2486948
2019-03-11,2380467
2019-03-12,2123988
2019-03-13,2187792
2019-03-14,2505399
2019-03-15,2634942
2019-03-16,2275192
2019-03-17,2546404
2019-03-18,2466739
2019-03-19,2191683
2019-03-20,2320885
2019-03-21,2513231
2019-03-22,2559307
2019-03-23,2227181
2019-03-24,2542643
2019-03-25,2434370
2019-03-26,2151913
2019-03-27,2273811
2019-03-28,2487162
2019-03-29,2538384
2019-03-30,2172920
2019-03-31,2510294
2019-04-01,2360053
2019-04-02,2026256
2019-04-03,2151626
2019-04-04,2411500
2019-04-05,2476884
2019-04-06,2011715
2019-04-07,2462929
2019-04-08,2384091
2019-04-09,2091056
2019-04-10,2229276
2019-04-11,2487398
2019-04-12,2590499
2019-04-13,2059142
2019-04-14,2446801
2019-04-15,2484580
2019-04-16,2208688
2019-04-17,2317381
2019-04-18,2616158
2019-04-19,2457133
2019-04-20,1988205
2019-04-21,2356802
2019-04-22,2594171
2019-04-23,2227475
2019-04-24,2254209
2019-04-25,2526961
2019-04-26,2521897
2019-04-27,1990464
2019-04-28,2506809
2019-04-29,2412770
2019-04-30,2102068
2019-05-01,2256442
2019-05-02,2499461
2019-05-03,2546029
2019-05-04,1968278
2019-05-05,2512598
2019-05-06,2470969
2019-05-07,2106597
2019-05-08,2270662
2019-05-09,2555342
2019-05-10,2602631
2019-05-11,1985942
2019-05-12,2419114
2019-05-13,2512315
2019-05-14,2191387
2019-05-15,2343675
2019-05-16,2611324
2019-05-17,2664549
2019-05-18,2091116
2019-05-19,2620276
2019-05-20,2615691
2019-05-21,2312727
2019-05-22,2472123
2019-05-23,2673635
2019-05-24,2792670
2019-05-25,2124825
2019-05-26,2070716
2019-05-27,2512237
2019-05-28,2453649
2019-05-29,2269035
2019-05-30,2485770
2019-05-31,2570613
2019-06-01,2117180
2019-06-02,2555578
2019-06-03,2499002
2019-06-04,2247421
2019-06-05,2370152
2019-06-06,2623947
2019-06-07,2649808
2019-06-08,2225952
2019-06-09,2669860
